station_id,station_name,lat,lon,total_departures,total_arrivals,mean_departures,mean_arrivals,mean_net_flow,std_net_flow
704,"Mexfield Road, East Putney",51.45682,-0.202802,350,272,0.23148148148148148,0.17989417989417988,0.051587301587301584,0.7026357630642325
706,"Snowsfields, London Bridge",51.502153,-0.083632,1671,1913,1.1051587301587302,1.2652116402116402,-0.16005291005291006,1.7533681675613204
707,"Barons Court Station, West Kensington",51.490217,-0.215087,2073,1950,1.371031746031746,1.2896825396825398,0.08134920634920635,3.1552582406098706
708,"Disraeli Road, Putney",51.46161,-0.216145,1039,1042,0.6871693121693122,0.6891534391534392,-0.001984126984126984,1.2345656112939905
709,"Montserrat Road , Putney",51.463211,-0.21555,510,598,0.3373015873015873,0.3955026455026455,-0.0582010582010582,0.8574346123251467
710,"Albert Bridge Road, Battersea Park",51.474392,-0.163347,1670,1504,1.1044973544973544,0.9947089947089947,0.10978835978835978,2.316712670816815
711,"Everington Street, Fulham",51.483356,-0.216305,1230,1123,0.8134920634920635,0.7427248677248677,0.07076719576719577,1.5794485692672073
712,"Mile End Stadium, Mile End",51.518541,-0.034903,1278,1187,0.8452380952380952,0.78505291005291,0.06018518518518518,1.881239567015077
713,"Hawley Crescent, Camden Town",51.541007,-0.14326,720,701,0.47619047619047616,0.4636243386243386,0.012566137566137565,1.2188572517959686
714,"Stewart's Road, Wandsworth Road",51.473116,-0.137235,487,435,0.3220899470899471,0.2876984126984127,0.03439153439153439,0.9543559407036486
715,"Aylward Street, Stepney",51.51563,-0.049067,853,736,0.5641534391534392,0.48677248677248675,0.07738095238095238,1.2299877667687125
716,"Stainsby Road , Poplar",51.515427,-0.023565,940,847,0.6216931216931217,0.5601851851851852,0.061507936507936505,1.9056639535452353
717,"Dunston Road , Haggerston",51.536585,-0.075885,3103,2700,2.052248677248677,1.7857142857142858,0.2665343915343915,3.168297903977237
718,"Ada Street, Hackney Central",51.535716,-0.060291,1495,1725,0.9887566137566137,1.1408730158730158,-0.15211640211640212,2.284673016545312
719,"Victoria Park Road, Hackney Central",51.536424,-0.054162,1780,1843,1.1772486772486772,1.218915343915344,-0.041666666666666664,2.175060950635822
720,"Star Road, West Kensington",51.487244,-0.205279,972,911,0.6428571428571429,0.6025132275132276,0.04034391534391534,1.3032919225242763
721,"Wendon Street, Old Ford",51.536039,-0.026262,836,736,0.5529100529100529,0.48677248677248675,0.06613756613756613,1.2426850808030405
722,"Finnis Street, Bethnal Green",51.524583,-0.058631,1294,1090,0.8558201058201058,0.7208994708994709,0.1349206349206349,1.6279483644200337
723,"Stephendale Road, Sands End",51.46822,-0.190346,1653,1566,1.0932539682539681,1.0357142857142858,0.057539682539682536,1.8353817333082632
724,"Alma Road, Wandsworth",51.457991,-0.184806,577,395,0.3816137566137566,0.2612433862433862,0.12037037037037036,1.169344986992842
725,"Walworth Square, Walworth",51.491327,-0.096518,524,371,0.34656084656084657,0.24537037037037038,0.10119047619047619,0.8902434088665574
726,"Alfreda Street, Battersea Park",51.47505,-0.150908,907,844,0.5998677248677249,0.5582010582010583,0.041666666666666664,1.3671902329319392
727,"Chesilton Road, Fulham",51.475698,-0.205876,1571,1486,1.039021164021164,0.9828042328042328,0.056216931216931214,1.7543029373685541
728,"Putney Bridge Road, East Putney",51.461999,-0.20624,364,333,0.24074074074074073,0.22023809523809523,0.0205026455026455,0.7572130175391767
729,"St. Peter's Terrace, Fulham",51.478939,-0.208485,1797,1679,1.1884920634920635,1.1104497354497354,0.07804232804232804,1.9771679880590058
730,"Bridge Avenue, Hammersmith",51.492084,-0.229116,1357,1366,0.8974867724867724,0.9034391534391535,-0.005952380952380952,1.4825136569127375
731,"Michael Road, Walham Green",51.477276,-0.18921,1020,934,0.6746031746031746,0.6177248677248677,0.056878306878306875,1.3473773985568904
732,"Duke Street Hill, London Bridge",51.506304,-0.087262,5019,5355,3.3194444444444446,3.5416666666666665,-0.2222222222222222,2.7882866147068484
733,"Park Lane, Mayfair",51.505426,-0.150817,1002,1027,0.6626984126984127,0.6792328042328042,-0.016534391534391533,1.5733944975787253
734,"Plough Terrace, Clapham Junction",51.462305,-0.175407,483,375,0.3194444444444444,0.24801587301587302,0.07142857142857142,0.8217291071493951
